Transaction Hash,Date,From,From_name,From_category,To,To_name,To_category,Value,DOT_USD,Symbol,Acquainted?
0xe34a75e03f0138e79b140264c635af01a7f9b5a3d9f15f7ace15b656a28b3f14,2022-10-05,0x2686a8919df194aa7673244549e68d42c1685d03,Ecosystem,Ecosystem,0x1208a26faa0f4ac65b42098419eb4daa5e580ac6,stevegachau.eth,Eco. Small Grants,-1.0,-1352.44,ETH,1
0xe34a75e03f0138e79b140264c635af01a7f9b5a3d9f15f7ace15b656a28b3f14,2022-10-05,0x2686a8919df194aa7673244549e68d42c1685d03,Ecosystem,Ecosystem,0x4a903f36037da9dc1e1992bc7b8d511170000b07,carletex.eth,Eco. Small Grants,-1.0,-1352.44,ETH,1
0xe34a75e03f0138e79b140264c635af01a7f9b5a3d9f15f7ace15b656a28b3f14,2022-10-05,0x2686a8919df194aa7673244549e68d42c1685d03,Ecosystem,Ecosystem,0x179a862703a4adfb29896552df9e307980d19285,gregskril.eth,Eco. Small Grants,-1.0,-1352.44,ETH,1
0xe66cc3a2b0ea50df81050a914b5d271f751b7faa39ddacf1364885872e39639d,2022-10-13,0x2686a8919df194aa7673244549e68d42c1685d03,Ecosystem,Ecosystem,0xf540fdfa0a08303c918ad383251ce8c48c42c39a,ENS Fairy,Eco. Small Grants,-1.0,-1287.51,ETH,1
0x1094765880e05845480260897e96522114fa6478c6f0b2feed500d676abcf27a,2022-10-16,0x2686a8919df194aa7673244549e68d42c1685d03,Ecosystem,Ecosystem,0x179a862703a4adfb29896552df9e307980d19285,gregskril.eth,Eco. Small Grants,-0.45,-587.6415,ETH,1
0x1094765880e05845480260897e96522114fa6478c6f0b2feed500d676abcf27a,2022-10-16,0x2686a8919df194aa7673244549e68d42c1685d03,Ecosystem,Ecosystem,0x82eb45562f991329ed2867f43fc60f0ba52c3dab,validator.eth,Eco. Small Grants,-0.0785,-102.51079499999999,ETH,1
0xa5f8ef29981ea48ec031f9aad93483c689420e83d9d606e161e2c1fc970f51b1,2022-11-07,0x2686a8919df194aa7673244549e68d42c1685d03,Ecosystem,Ecosystem,0x179a862703a4adfb29896552df9e307980d19285,gregskril.eth,Eco. Small Grants,-1.0,-1568.45,ETH,1
0xa5f8ef29981ea48ec031f9aad93483c689420e83d9d606e161e2c1fc970f51b1,2022-11-07,0x2686a8919df194aa7673244549e68d42c1685d03,Ecosystem,Ecosystem,0xe126b3e5d052f1f575828f61feba4f4f2603652a,Revoke.Cash,Eco. Small Grants,-1.0,-1568.45,ETH,1
0xa5f8ef29981ea48ec031f9aad93483c689420e83d9d606e161e2c1fc970f51b1,2022-11-07,0x2686a8919df194aa7673244549e68d42c1685d03,Ecosystem,Ecosystem,0xc9c022fcfebe730710ae93ca9247c5ec9d9236d0,frolic.eth,Eco. Small Grants,-1.0,-1568.45,ETH,1
0xa5f8ef29981ea48ec031f9aad93483c689420e83d9d606e161e2c1fc970f51b1,2022-11-07,0x2686a8919df194aa7673244549e68d42c1685d03,Ecosystem,Ecosystem,0x627f84bb4bba3333f253f09fe22a445f195bcf34,KarmaHQ,Eco. Small Grants,-1.0,-1568.45,ETH,1
0xa5f8ef29981ea48ec031f9aad93483c689420e83d9d606e161e2c1fc970f51b1,2022-11-07,0x2686a8919df194aa7673244549e68d42c1685d03,Ecosystem,Ecosystem,0x07590a393c67670463b80768feed264832541d51,cookbookdev.eth,Eco. Small Grants,-1.0,-1568.45,ETH,1
0xa5f8ef29981ea48ec031f9aad93483c689420e83d9d606e161e2c1fc970f51b1,2022-11-07,0x2686a8919df194aa7673244549e68d42c1685d03,Ecosystem,Ecosystem,0x6dd6934452eb4e6d87b9c874ae0ef83ec3bd5803,feems.eth,Eco. Small Grants,-1.0,-1568.45,ETH,1
0xa5f8ef29981ea48ec031f9aad93483c689420e83d9d606e161e2c1fc970f51b1,2022-11-07,0x2686a8919df194aa7673244549e68d42c1685d03,Ecosystem,Ecosystem,0x1b46f75ac63bc57dfe82a374bdcdbfb08d125792,busayo.eth,Eco. Small Grants,-1.0,-1568.45,ETH,1
0xa5f8ef29981ea48ec031f9aad93483c689420e83d9d606e161e2c1fc970f51b1,2022-11-07,0x2686a8919df194aa7673244549e68d42c1685d03,Ecosystem,Ecosystem,0x60583563d5879c2e59973e5718c7de2147971807,carletex.eth,Eco. Small Grants,-1.0,-1568.45,ETH,1
0xa5f8ef29981ea48ec031f9aad93483c689420e83d9d606e161e2c1fc970f51b1,2022-11-07,0x2686a8919df194aa7673244549e68d42c1685d03,Ecosystem,Ecosystem,0x63a556c75443b176b5a4078e929e38beb37a1ff2,apoorv.eth,Eco. Small Grants,-1.0,-1568.45,ETH,1
0xa5f8ef29981ea48ec031f9aad93483c689420e83d9d606e161e2c1fc970f51b1,2022-11-07,0x2686a8919df194aa7673244549e68d42c1685d03,Ecosystem,Ecosystem,0x87c02352ad720889e5b5fbb541ff162da6690019,0xsef.eth,Eco. Small Grants,-1.0,-1568.45,ETH,1
0x58601fa2beff8e634f05c347f1b3eae8bb6389e117063b918185f0d83ac09ca3,2022-11-09,0x2686a8919df194aa7673244549e68d42c1685d03,Ecosystem,Ecosystem,0x21532d4267648191bef7a33c813c43cf90a6fa78,unvetica.eth,Eco. Small Grants,-1.0,-1104.17,ETH,1
